 276, 151, 5
 82, 198, 5
 123, 167, 35
 172, 197, 5
 58, 76, 5
 271, 23, 5
 159, 165, 5
 10, 71, 5
 281, 167, 5
 112, 62, 45
 148, 35, 135
 264, 25, 5
 133, 5, 5
 199, 94, 135
 1, 171, 5
 3, 189, 5
 267, 193, 5
 158, 93, 5
 283, 157, 5
 80, 23, 5
 123, 69, 5
 245, 100, 5
 100, 52, 135
 230, 76, 5
 159, 144, 35
 37, 137, 5
 196, 70, 35
 32, 102, 5
 222, 26, 45
 292, 70, 5
 167, 117, 35
 59, 120, 35
 107, 38, 135
 93, 36, 45
 97, 120, 35
 138, 37, 5
 291, 134, 5
 293, 200, 5
 262, 104, 5
 197, 158, 135
 205, 87, 135
 52, 46, 5
 60, 89, 135
 119, 182, 135
 136, 98, 5
 241, 156, 5
 275, 37, 5
 107, 193, 55
 236, 114, 35
 44, 171, 5
 92, 5, 135
 15, 56, 5
 231, 99, 35
 83, 55, 135
 174, 210, 5
 88, 174, 5
 1, 152, 5
 271, 182, 5
 89, 57, 125
 176, 23, 35
 49, 177, 5
 9, 182, 5
 215, 204, 5
 100, 81, 45
 51, 120, 5
 236, 68, 5
 121, 55, 135
 4, 42, 5
 107, 36, 135
 57, 45, 45
 36, 17, 5
 120, 205, 5
 2, 96, 5
 34, 106, 5
 185, 9, 45
 139, 148, 5
 53, 210, 5
 26, 57, 5
 267, 46, 5
 104, 143, 5
 44, 181, 5
 237, 60, 5
 131, 191, 135
 282, 183, 5
 260, 76, 5
 37, 96, 5
 50, 131, 5
 129, 120, 135
 137, 89, 35
 78, 11, 5
 217, 185, 5
 22, 104, 5
 59, 53, 45
 232, 130, 135
 15, 125, 5
 157, 84, 135
 235, 9, 5
 297, 86, 5
 85, 82, 135
 37, 125, 5
 149, 203, 125
 208, 50, 135
 201, 19, 135
 58, 121, 125
 115, 16, 5
 143, 106, 5
 270, 147, 5
 240, 142, 135
 32, 174, 5
 147, 73, 35
 100, 6, 5
 67, 3, 5
 12, 85, 5
 207, 197, 5
 259, 190, 5
 17, 37, 5
 231, 207, 5
 124, 203, 135
 37, 73, 5
 42, 31, 5
 196, 98, 5
 84, 146, 135
 20, 106, 5
 58, 143, 35
 189, 75, 35
 221, 129, 45
 184, 159, 135
 147, 29, 5
 272, 79, 5
 187, 69, 125
 156, 152, 105
 26, 56, 5
 53, 131, 5
 182, 113, 125
 42, 196, 5
 239, 199, 5
 65, 203, 5
 83, 103, 5
 72, 110, 5
 31, 105, 5
 203, 91, 135
 269, 7, 5
 221, 44, 45
 166, 3, 5
 270, 139, 5
 153, 167, 5
 285, 78, 5
 245, 167, 135
 164, 101, 35
 24, 11, 5
 38, 127, 5
 2, 85, 5
 166, 78, 135
 245, 179, 5
 288, 186, 5
 218, 57, 135
 78, 78, 135
 263, 191, 5
 261, 201, 5
 268, 35, 5
 202, 37, 45
 198, 122, 125
 171, 89, 35
 50, 127, 5
 214, 200, 5
 108, 205, 55
 3, 4, 5
 234, 109, 5
 266, 43, 5
 211, 75, 135
 50, 174, 5
 231, 83, 5
 230, 14, 5
 226, 150, 135
 85, 126, 5
 252, 194, 5
 146, 64, 5
 280, 101, 5
 289, 156, 5
 288, 45, 5
 175, 173, 135
 273, 203, 5
 147, 88, 5
 51, 115, 135
 295, 180, 5
 159, 47, 135
 89, 25, 135
 37, 140, 5
 224, 90, 135
 47, 88, 5
 128, 18, 5
 192, 176, 5
 76, 22, 5
 30, 189, 5
 34, 204, 5
 99, 147, 135
 90, 39, 135
 203, 70, 5
 115, 114, 135
 129, 135, 105
 18, 150, 5
 138, 136, 135
 59, 186, 35
 90, 174, 5
 296, 79, 5
 80, 21, 5
 129, 27, 5
 196, 153, 135
 41, 161, 5
 113, 129, 5
 124, 146, 5
 264, 75, 5
 143, 166, 135
 89, 41, 135
 4, 4, 5
 279, 198, 5
 146, 24, 5
 95, 139, 5
 151, 58, 135
 202, 12, 45
 21, 144, 5
 150, 84, 5
 18, 113, 5
 104, 108, 5
 78, 58, 135
 53, 25, 5
 1, 96, 5
 276, 9, 5
 28, 50, 5
 18, 54, 5
 270, 204, 5
 46, 83, 5
 288, 58, 5
 189, 184, 105
 80, 205, 5
 3, 167, 5
 255, 67, 5
 13, 203, 5
 62, 69, 5
 29, 22, 5
 149, 171, 135
 159, 81, 135
 187, 43, 5
 0, 37, 5
 216, 95, 35
 62, 159, 5
 196, 19, 135
 195, 198, 135
 172, 79, 5
 207, 136, 45
 171, 30, 5
 226, 84, 135
 35, 126, 5
 74, 52, 135
 284, 79, 5
 267, 96, 5
 277, 35, 5
 83, 89, 5
 74, 198, 5
 275, 9, 5
 86, 141, 135
 65, 140, 135
 253, 53, 5
 97, 210, 5
 20, 61, 5
 199, 144, 135
 212, 134, 45
 14, 178, 5
 181, 145, 5
 276, 118, 5
 293, 31, 5
 5, 86, 5
 15, 85, 5
 161, 177, 125
 49, 142, 5
 211, 56, 135
 90, 156, 135
 250, 144, 5
 95, 100, 5
 283, 71, 5
 281, 91, 5
 171, 190, 5
 110, 52, 125
 187, 137, 5
 132, 201, 135
 102, 89, 45
 1, 170, 5
 101, 39, 45
 103, 205, 55
 190, 33, 35
 270, 116, 5
 292, 167, 5
 155, 12, 5
 157, 0, 5
 71, 36, 135
 172, 124, 135
 54, 137, 135
 31, 50, 5
 229, 43, 35
 6, 6, 5
 102, 62, 45
 122, 200, 135
 211, 196, 105
 17, 180, 5
 294, 114, 5
 280, 192, 5
 138, 113, 35
 165, 147, 5
 171, 81, 135
 153, 154, 135
 77, 105, 5
 107, 180, 35
 291, 4, 5
 25, 199, 5
 232, 60, 5
 292, 55, 5
 64, 5, 5
 139, 99, 5
 255, 29, 5
 102, 9, 5
 207, 196, 105
 184, 210, 5
 100, 89, 45
 132, 165, 135
 184, 186, 5
 188, 172, 5
 218, 83, 135
 189, 111, 35
 135, 59, 135
 232, 134, 5
 107, 57, 45
 70, 155, 135
 1, 50, 5
 13, 134, 5
 37, 10, 5
 292, 160, 5
 250, 146, 5
 200, 79, 35
 113, 15, 5
 258, 134, 5
 219, 12, 5
 30, 65, 5
 294, 169, 5
 261, 189, 5
 105, 11, 5
 96, 169, 35
 173, 88, 35
 162, 174, 5
 218, 59, 135
 238, 106, 5
 108, 15, 5
 109, 146, 5
 16, 41, 5
 87, 201, 5
 282, 73, 5
 68, 210, 5
 185, 72, 35
 128, 31, 5
 88, 150, 135
 108, 181, 35
 132, 26, 5
 125, 161, 5
 110, 103, 5
 105, 128, 135
 40, 164, 5
 114, 43, 135
 261, 33, 5
 202, 120, 35
 255, 8, 5
 229, 52, 35
 148, 26, 5
 55, 59, 45
 144, 27, 5
 244, 141, 135
 198, 53, 35
 144, 111, 35
 8, 55, 5
 187, 104, 5
 282, 189, 5
 54, 187, 35
 273, 25, 5
 259, 73, 5
 75, 17, 5
 123, 123, 5
 273, 123, 5
 92, 154, 105
 242, 31, 5
 257, 55, 5
 129, 172, 5
 281, 194, 5
 286, 126, 5
 293, 37, 5
 20, 137, 5
 235, 58, 125
 266, 23, 5
 141, 207, 5
 79, 3, 5
 38, 14, 5
 113, 162, 135
 90, 115, 5
